_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
115780,NONE,Outdoor rec facilities,YES,YES,YES,NO,NO,50 indoor parking spots and 18 outdoor parking spots,4,15,NA,NA,NA,BBQ/SUN DECK,NA,NA,YES,YES,Green Bin / Organics,YES,NO,ENCLOSURE - EXTERIOR,REPLACED,2003,HOT WATER,NO,YES,NO,YES,YES,24/7,LOWER FLOOR,YES,0,0,0,2,NO,YES,"Ground Level Garage , Surface Parking",M1N,NA,YES,GREENWIN CORP.,PRIVATE,ENCLOSURE - EXTERIOR,4317592,NO,YES,NO,3017 B  QUEEN ST E,NO,NA,NA,NA,UNAVAILABLE,20,DOUBLE PANE,1954,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA
115781,INDIVIDUAL UNITS,NA,YES,YES,YES,NO,NO,0 indoor parking spots and 8 outdoor parking spots,3,15,NA,NONE,NONE,NONE,NA,NA,NO,NO,Green Bin / Organics,YES,NO,OUTSIDE OF BUILDING,REPLACED,NA,ELECTRIC,NO,YES,NO,NO,YES,9AM-9PM,BASEMENT,NO,0,0,0,4,YES,YES,NA,M4E,NO MORE THAN ONE,YES,EZ PROPERTY MANAGEMENT,PRIVATE,OUTSIDE BUILDING,4476608,NO,YES,NO,987  KINGSTON RD ,NO,NA,NA,NA,UNAVAILABLE,19,DOUBLE PANE,1925,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA
115782,CENTRAL AIR,"Indoor recreation room , Indoor exercise room",NO,NO,YES,YES,YES,Not Available,36,466,NA,NA,YOGA ROOM WITH EXERCISE EQUIPMENT,NA,NA,ORIGINAL,NO,NO,Green Bin / Organics,YES,YES,GARBAGE ROOM - GROUND FLOOR SOUTH ENTRANCE,ORIGINAL,2018,HOT WATER,YES,YES,YES,YES,NO,NA,NA,YES,0,2,5,NA,YES,NO,"Underground Garage , Garage accessible thru buildg",NA,NA,NO,RHAPSODY PROPERTY MANAGEMENT SERVICES,PRIVATE,GARBAGE ROOM - GROUND FLOOR SOUTH ENTRANCE,4654253,NO,YES,YES,15  ROEHAMPTON AVE ,YES,NO,2018,NA,PAID,12,DOUBLE PANE,2019,NA,2019,NA,NA,NA,NA,NA,NA,NA,NA
115783,NONE,NA,YES,NA,YES,NO,NO,Not Available,3,12,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,NO,OUTSIDE,REPLACED,2010,HOT WATER,NO,YES,NO,NO,YES,8 A.M. - 10 P.M.,BASEMENT,NO,NA,0,0,2,NA,YES,"Ground Level Garage , Surface Parking",M4B,NA,YES,KAI GRANEK,PRIVATE,OUTSIDE,4288857,NO,NO,NO,991  O'CONNOR DR ,NO,NA,NA,NA,UNAVAILABLE,19,DOUBLE PANE,1950,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA
115784,NONE,NA,YES,YES,YES,NO,NO,16 indoor parking spots and 0 outdoor parking spots,3,17,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,NO,GARAGE,REPLACED,2015,HOT WATER,YES,YES,NO,NO,YES,24/7,GARAGE,NO,0,0,0,4,NO,NO,Ground Level Garage,M4W,AS PER BY-LAWS,YES,LAW PROPERTY MANAGEMENT ,PRIVATE,GARAGE,4287729,NO,NO,NO,470  SUMMERHILL AVE ,NO,NA,NA,NA,UNAVAILABLE,11,DOUBLE PANE,1952,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA
115785,NONE,NA,YES,YES,YES,YES,YES,Not Available,4,50,NA,NA,NA,NA,NA,NA,YES,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,ORIGINAL,1980,HOT WATER,NO,YES,NO,YES,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,NO,1,1,1,4,YES,YES,NA,M5A,NA,NO,TCH,TCHC,BACK OF BUILDING,4286252,NO,NO,NO,45  ST LAWRENCE ST ,YES,YES,1980,NA,BOTH,13,THERMAL,1980,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
115786,NONE,NA,YES,NO,YES,NO,NO,0 indoor parking spots and 12 outdoor parking spots,4,38,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,NO,SOUTH PARKING LOT,REPLACED,2012,FORCED AIR GAS,NO,YES,NO,NO,YES,9AM-9PM,BASEMENT,NO,0,25,0,4,NO,YES,Surface Parking,M8V,NA,NO,FLORIRI VILLAGE INVESTMENTS INC,PRIVATE,SOUTH PARKING LOT,4290981,NO,YES,NO,2307  LAKE SHORE BLVD W,NO,NA,NA,NA,UNAVAILABLE,03,DOUBLE PANE,1959,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
115787,NONE,Outdoor rec facilities,YES,NO,YES,YES,NO,Not Available,3,11,NA,NA,NA,BASKETBALL NET,NA,ORIGINAL,NA,YES,Green Bin / Organics,YES,NO,SIDE/BACK,REPLACED,2021,ELECTRIC,NO,NO,NO,NO,YES,9/9,BASEMENT,NO,5,8,0,2,YES,YES,Surface Parking,M5R,NA,YES,51 MADISON TORONTO INCORPORATED,PRIVATE,SIDE/BACK OF HOUSE,5033221,NO,NO,NO,51  MADISON AVE ,YES,NO,2021,NA,PAID,11,SINGLE PANE,1890,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA
115788,NONE,NA,YES,NO,YES,YES,NO,0 indoor parking spots and 16 outdoor parking spots,10,58,NA,NA,NA,NA,NA,ORIGINAL,NO,NO,Green Bin / Organics,NO,YES,"OUTDOOR, NEAR GARAGE STAIRWAY",REPLACED,2019,ELECTRIC,NO,YES,NO,YES,YES,24/7,GROUND FLOOR,NO,NA,72,2,8,YES,YES,"Underground Garage , Surface Parking",M3N,NA,YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,"OUTDOOR, NEAR PARKING LOT",4716071,NO,YES,NO,10  YORKWOODS GT ,YES,NO,NA,NO,FREE,07,DOUBLE PANE,1972,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA
115789,CENTRAL AIR,"Indoor pool , Indoor recreation room , Indoor exercise room",YES,YES,YES,YES,YES,62 indoor parking spots and 7 outdoor parking spots,9,61,"AUG 25, 2022",NA,"FITNESS STUDIO ON LEVEL 2 WITH ASSORTMENT OF CARDIO EQUIPMENT, WEIGHTS, YOGA MATS AND WEIGHT MACHINES",NA,N/A,ORIGINAL,YES,YES,Green Bin / Organics,YES,YES,BACK OF BUILDING,ORIGINAL,2021,ELECTRIC,YES,YES,YES,YES,NO,NA,NA,YES,8,2,2,NA,YES,YES,"Underground Garage , Garage accessible thru buildg",M6G,NA,YES,RHAPSODY PROPERTY MANAGEMENT SERVICES,PRIVATE,BACK OF BUILDING,5241001,NO,YES,YES,555  COLLEGE ST ,YES,YES,2021,YES,FREE,11,DOUBLE PANE,2022,2022,2023,NA,NA,NA,NA,NA,NA,NA,NA
115790,INDIVIDUAL UNITS,NA,YES,YES,YES,YES,NO,0 indoor parking spots and 3 outdoor parking spots,3,16,NA,NO,NA,NA,NA,NA,NA,YES,Green Bin / Organics,YES,NO,NEXT TO RECYCLING BINS,REPLACED,2017,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,1ST FLOOR,NO,0,0,0,2,YES,YES,NA,M6G,NO LARGE ANIMALS,YES,NA,PRIVATE,NEXT TO GARBAGE BINS OUTSIDE,5365981,NO,YES,NO,12  VAUGHAN RD ,NO,NA,NA,NA,UNAVAILABLE,12,THERMAL,1960,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA
115791,NONE,NA,YES,NO,YES,YES,NO,0 indoor parking spots and 6 outdoor parking spots,3,10,NA,NA,NA,NA,NA,ORIGINAL,NO,NO,Unknown,YES,NO,OUTSIDE,REPLACED,2014,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,LOWER,YES,0,0,0,4,YES,YES,NA,M6G,DOGS AND CATS,YES,1569625 ONTARIO LIMITED,PRIVATE,NA,5364536,YES,YES,NO,333  HARBORD ST ,NO,NO,NA,NO,UNAVAILABLE,11,DOUBLE PANE,1913,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA
115792,CENTRAL AIR,"Indoor recreation room , Outdoor rec facilities , Indoor exercise room",YES,YES,YES,YES,YES,0 indoor parking spots and 0 outdoor parking spots,7,131,"DEC 13, 2023",NA,FITNESS ROOM,BBQ,NA,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,GARBAGE ROOM,ORIGINAL,2021,FORCED AIR GAS,YES,YES,YES,YES,NO,NA,NA,YES,0,0,2,NA,YES,NO,"Surface Parking , Parking Deck",NA,NONE,YES,REALSTAR,PRIVATE,GARBAGE ROOM,5383939,NO,YES,NO,3385  DUNDAS ST W,YES,YES,2021,YES,UNAVAILABLE,04,DOUBLE PANE,2021,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA
115793,NONE,NA,YES,NO,YES,NO,NO,0 indoor parking spots and 5 outdoor parking spots,3,10,NA,NA,NA,NA,NA,ORIGINAL,NO,NO,Green Bin / Organics,YES,NO,GARBAGE ENCLOSURE,REPLACED,2021,HOT WATER,YES,NO,NO,NO,YES,24 HRS,BASEMENT,NO,0,0,0,2,YES,YES,Surface Parking,M8V,NONE,YES,IPG MANAGEMENT GROUP INC,PRIVATE,GARBAGE AREA,5386620,NO,YES,NO,121  FOURTH ST ,NO,NO,NA,NO,UNAVAILABLE,03,DOUBLE PANE,1983,NA,2024,NA,NA,NA,NA,NA,NA,NA,NA
115794,NONE,NA,YES,YES,YES,YES,NO,Not Available,6,52,"DEC 1, 2017",NA,NA,NA,NA,ORIGINAL,NA,NO,Recycling bins,YES,NO,NA,ORIGINAL,1968,ELECTRIC,NO,YES,NO,NO,YES,9 TO 9,2ND FLOOR,NO,0,0,1,4,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9N,NA,YES,GREENWIN CORP.,PRIVATE,SIDE,4155162,NO,YES,NO,2360  WESTON RD ,YES,YES,2007,YES,UNAVAILABLE,05,DOUBLE PANE,1968,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA
115795,NONE,NA,YES,YES,YES,YES,NO,Not Available,7,104,"AUG 5, 2016",NA,NA,NA,NA,ORIGINAL,NA,NO,Recycling bins,YES,YES,NA,ORIGINAL,1964,HOT WATER,NO,YES,NO,NO,YES,7AM - 11PM,MAIN FLOOR,YES,0,1,2,10,NO,YES,"Underground Garage , Surface Parking",M2L,NA,YES,MEDALLION CORPORATION,PRIVATE,OUTDOORS,4155669,NO,YES,NO,38  CARLUKE CRES ,YES,YES,1964,YES,BOTH,15,DOUBLE PANE,1964,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
115796,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,14,300,"MAY 14, 2015",NA,NA,NA,FULL REPLACEMENT - NORTHERN,REPLACED,YES,NO,Green Bin / Organics,YES,YES,COMPACTOR ROOM,ORIGINAL,1981,HOT WATER,YES,YES,NO,YES,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,YES,3,4,2,16,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M6E,NA,YES,TCH,TCHC,BLEECKER,4155685,NO,NO,NO,1775  EGLINTON AVE W,YES,YES,1981,YES,PAID,12,THERMAL,1981,2003,2017,NA,NA,NA,NA,NA,NA,NA,NA
115797,INDIVIDUAL UNITS,Indoor recreation room,YES,YES,YES,YES,YES,0 indoor parking spots and 10 outdoor parking spots,20,210,"JUL 24, 2017",NA,NA,NA,NA,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,CHUTE ROOM TRISORTER,ORIGINAL,2012,HOT WATER,YES,YES,YES,YES,YES,24 HRS,MAIN FLOOR,YES,20,4,3,22,NO,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",NA,NA,NO,THE BROWN GROUP OF COMPANIES INC.,PRIVATE,CHUTE ROOM TRISORTER,4166721,NO,NO,NO,8  CHICHESTER PL ,YES,YES,2012,YES,FREE,22,DOUBLE PANE,2012,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
115798,NONE,"Indoor recreation room , Indoor exercise room , Sauna",YES,YES,YES,YES,YES,0 indoor parking spots and 21 outdoor parking spots,23,216,"DEC 12, 2012",NA,FULL GYM,NA,CONTROL & MODERNIZATION,REPLACED,YES,NO,Recycling bins,YES,YES,NA,REPLACED,2009,HOT WATER,NO,YES,YES,YES,YES,24,BASEMENT ,YES,0,0,3,18,NO,NO,"Underground Garage , Garage accessible thru buildg",M5R,NA,YES,PARK PROPERTY MANAGEMENT INC. ,PRIVATE,BACK OF BUILDING,4167462,NO,YES,NO,100  SPADINA RD ,YES,YES,1969,YES,PAID,11,DOUBLE PANE,1969,2009,2017,NA,NA,NA,NA,NA,NA,NA,NA
115799,CENTRAL AIR,"Indoor recreation room , Child play area",YES,YES,YES,YES,YES,5 indoor parking spots and 15 outdoor parking spots,8,72,"AUG 1, 2017",PLAYGROUND LOXATED AT REAR OF BUILDING,NA,NA,NA,ORIGINAL,YES,NO,Recycling bins,YES,YES,NA,ORIGINAL,2008,HOT WATER,YES,YES,YES,YES,YES,24 HOURS,GROUND FLOOR,YES,2,2,3,8,NO,NO,"Underground Garage , Garage accessible thru buildg",M4P,NA,NO,WESTDALE PROPERTIES,PRIVATE,COMPACTOR ROOM GROUND FLOOR,4167679,NO,YES,NO,220  REDPATH AVE ,YES,YES,2008,YES,PAID,15,DOUBLE PANE,2008,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
115800,NONE,NA,YES,YES,YES,YES,NO,50 indoor parking spots and 0 outdoor parking spots,6,76,"FEB 23, 2016",NA,NA,NA,MECHANICAL PARTS,REPLACED,NA,NO,Green Bin / Organics,YES,NO,OUTSIDE - SIDE OF BUILDING,REPLACED,2000,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,MAIN FLOOR,YES,0,0,1,8,NO,YES,"Underground Garage , Parking Deck",M4H,NA,YES,HAZELVIEW PROPERTY SERVICES INC,PRIVATE,OUTSIDE - SIDE OF BUILDING,4154148,NO,YES,NO,8  MILEPOST PL ,YES,YES,1960,YES,UNAVAILABLE,15,DOUBLE PANE,1960,2015,2017,NA,NA,NA,NA,NA,NA,NA,NA
115801,NONE,NA,YES,NO,YES,YES,NO,Not Available,7,86,"DEC 17, 2015",NA,NA,NA,"ALL CONTROLS, MOTORS WIRING,CAB UPGRADE ",REPLACED,NA,NO,Recycling bins,YES,YES,NA,REPLACED,2013,HOT WATER,NO,YES,NO,NO,YES,9 A.M - 9 P.M,BASEMENT FLOOR ,YES,0,94,2,6,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4H,SMALL BREED ,YES,CENTURION PROPERTY ASSOCIATES INC.,PRIVATE,OUTSIDE -PARKING LOT AREA ,4154149,NO,YES,NO,27  THORNCLIFFE PARK DR ,YES,YES,1960,YES,FREE,15,DOUBLE PANE,1960,2013,2017,NA,NA,NA,NA,NA,NA,NA,NA
115802,NONE,NA,YES,YES,YES,YES,YES,0 indoor parking spots and 10 outdoor parking spots,20,380,"JUL 1, 2017",NA,NA,NA,NA,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,BACK OF BUILDING,REPLACED,2002,HOT WATER,NO,YES,NO,YES,YES,24HRS,BASEMENT LEVEL,YES,380,4,4,20,NO,YES,"Underground Garage , Garage accessible thru buildg",M4H,NA,YES,MORGUARD NAR CANADA L.P,PRIVATE,BACK OF BUILDING,4154151,NO,YES,NO,43  THORNCLIFFE PARK DR ,YES,YES,1965,YES,BOTH,15,DOUBLE PANE,1965,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
115803,NONE,NA,YES,YES,YES,YES,NO,Not Available,6,90,"APR 17, 2016",NA,NA,NA,MECHANICAL ELEVATOR MODERNIZATION AND CAB INTERIOR,REPLACED,YES,NO,Green Bin / Organics,YES,YES,REAR OF BUILDING WEST SIDE,ORIGINAL,2005,HOT WATER,NO,YES,NO,YES,YES,8,MAIN FLOOR,YES,0,0,2,11,NO,YES,Surface Parking,M4H,AS PER LEASE AGREEMENT,YES,BRIARLANE RENTAL PROPERTY MANAGEMENT INC,PRIVATE,REAR OF BUILDING WEST SIDE,4154165,NO,YES,NO,44  THORNCLIFFE PARK DR ,YES,YES,1964,YES,UNAVAILABLE,15,DOUBLE PANE,1964,2013,2017,NA,NA,NA,NA,NA,NA,NA,NA
115804,NONE,NA,YES,YES,YES,YES,NO,Not Available,6,70,"JUN 1, 2017",NA,NA,NA,NA,ORIGINAL,NA,NO,Green Bin / Organics,YES,NO,IN REAR ON NORTH SIDE OF BUILDING,REPLACED,2010,HOT WATER,NO,YES,NO,NO,YES,7:00 AM TO 9:00 PM,ON FIRST FLOOR,NO,0,0,1,4,NO,YES,Surface Parking,M4H,NA,YES,NA,PRIVATE,IN REAR ON NORTH SIDE OF BUILDING,4154168,NO,YES,NO,36  THORNCLIFFE PARK DR ,NO,NA,NA,YES,UNAVAILABLE,15,DOUBLE PANE,1959,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
115805,NONE,NA,YES,NO,YES,YES,YES,Not Available,6,60,"DEC 14, 2015",NA,NA,NA,"ALL CONTROLS, MOTORS WIRING,CAB UPGRADE ",REPLACED,NA,NO,Recycling bins,YES,NO,NA,REPLACED,2014,HOT WATER,NO,YES,NO,NO,YES,9 A.M - 9 P.M,GROUND FLOOR ,NO,2,2,1,8,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4H,SMALL BREED ,YES,CENTURION PROPERTY ASSOCIATES INC.,PRIVATE,OUTSIDE -PARKING LOT AREA ,4154170,NO,YES,NO,6  GRANDSTAND PL ,NO,NA,NA,YES,FREE,15,DOUBLE PANE,1958,2013,2017,NA,NA,NA,NA,NA,NA,NA,NA
115806,NONE,NA,NO,NO,YES,YES,NO,Not Available,6,60,"NOV 26, 2015",NA,NA,NA,ELEVATOR MODERNIZED ,REPLACED,NA,NO,Green Bin / Organics,YES,YES,IN GARBAGE ROOM,ORIGINAL,1962,HOT WATER,NO,YES,NO,NO,YES,8 AM TO 10 PM,MAIN FLOOR,NO,0,0,1,6,NO,YES,"Carport , Surface Parking",M4H,NA,NO,LAWRENCE CONSTRUCTION CO. LIMITED,PRIVATE,AT FRONT OF BUILDING,4154171,NO,YES,NO,4  GRANDSTAND PL ,YES,NO,1962,YES,FREE,15,DOUBLE PANE,1962,2016,2017,NA,NA,NA,NA,NA,NA,NA,NA
115807,NONE,NA,YES,YES,YES,YES,YES,Not Available,25,333,"JAN 1, 2017",NA,NA,NA,NA,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,OUTDOOR GARBAGE ENCLOSURE,REPLACED,2016,ELECTRIC,YES,YES,NO,YES,YES,24/7,BASEMENT,YES,333,0,4,32,NO,YES,"Underground Garage , Garage accessible thru buildg",M3C,NA,YES,STERLING KARAMAR PROPERTY MANAGEMENT,PRIVATE,GARAGE,4154176,NO,YES,NO,701  DON MILLS RD ,YES,YES,1960,NO,PAID,16,DOUBLE PANE,1960,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
115808,NONE,NA,YES,YES,YES,YES,YES,Not Available,4,64,"JAN 20, 2015",NA,NA,NA,MODERNIZED,REPLACED,NA,YES,Recycling bins,YES,NO,NA,REPLACED,2015,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,GROUND,YES,0,0,1,6,NO,YES,"Ground Level Garage , Surface Parking",M5M,NA,YES,SIGNET GROUP INC.,PRIVATE,OUTSIDE IN PARKING AREA,4154685,NO,YES,NO,2181  AVENUE RD ,YES,YES,1950,YES,FREE,08,DOUBLE PANE,1950,2012,2017,NA,NA,NA,NA,NA,NA,NA,NA
115809,NONE,NA,YES,YES,YES,YES,YES,Not Available,5,50,"MAY 6, 2017",NA,NA,NA,INTERIOR AND CONTROLS,REPLACED,NA,NO,Recycling bins,YES,YES,NA,REPLACED,1990,HOT WATER,NO,YES,YES,NO,YES,8AM - 10PM,GROUND FLOOR,YES,50,0,1,6,NO,YES,"Underground Garage , Surface Parking",M3H,NA,YES,STERLING KARAMAR PROPERTY MANAGEMENT,PRIVATE,OUTSIDE,4154686,NO,YES,NO,3905  BATHURST ST ,YES,YES,1960,NO,FREE,06,DOUBLE PANE,1960,2006,2017,NA,NA,NA,NA,NA,NA,NA,NA
115810,NONE,NA,YES,YES,YES,NO,NO,Not Available,3,17,NA,NA,NA,NA,NA,NA,YES,NO,Recycling bins,YES,NO,NA,ORIGINAL,2014,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,BASEMENT LEVEL,NO,0,19,0,1,YES,YES,Surface Parking,M2N,NA,YES,NA,PRIVATE,PARKING AREA,4154704,YES,YES,YES,11  CHURCHILL AVE ,NO,NA,NA,NA,FREE,18,SINGLE PANE,1958,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
115811,NA,NA,YES,YES,YES,YES,NO,Not Available,4,32,"JUN 28, 2020",NA,NA,NA,NA,ORIGINAL,NA,NO,Unknown,YES,NO,NA,ORIGINAL,NA,HOT WATER,NO,YES,NO,NO,YES,24 HRS,GROUND FLOOR,YES,NA,2,1,5,YES,YES,"Ground Level Garage , Carport , Surface Parking",M2R,NO,YES,NA,PRIVATE,NA,4154708,NO,YES,NO,2  ANCONA ST ,YES,YES,1960,NO,FREE,18,SINGLE PANE,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA
115812,INDIVIDUAL UNITS,Indoor recreation room,YES,NO,YES,NO,NO,Not Available,3,25,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,NO,INSIDE THE GARBAGE ROOM,REPLACED,2017,HOT WATER,YES,YES,YES,NO,YES,24/7,BASEMENT,YES,0,0,0,4,NO,YES,Surface Parking,M6S,NA,YES,MAINSTAY HOUSING,SOCIAL HOUSING,INSIDE THE GARBAGE ROOM,4155200,NO,NO,NO,495  RIVERSIDE DR ,YES,YES,1993,NA,FREE,04,DOUBLE PANE,1950,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
115813,NONE,NA,YES,NO,YES,NO,NO,Not Available,3,17,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,NO,OUTSIDE,REPLACED,1995,HOT WATER,NO,YES,NO,NO,YES,NA,BASEMENT,NO,0,0,0,2,YES,YES,Surface Parking,M6S,NA,YES,NA,PRIVATE,OUTSIDE,4155206,NO,NO,NO,596  JANE ST ,NO,NA,NA,NA,UNAVAILABLE,04,DOUBLE PANE,1958,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
115814,NONE,NA,YES,YES,YES,YES,YES,Not Available,7,76,"APR 26, 2015",NA,NA,NA,NA,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE,ORIGINAL,1982,ELECTRIC,NO,YES,YES,YES,YES,24/7,BASEMENT,NO,2,25,2,6,NO,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",M8W,PREFER SMALL DOGS,YES,NA,SOCIAL HOUSING,OUTSIDE,4155218,NO,NO,NO,256  SHELDON AVE ,YES,YES,1982,YES,FREE,03,DOUBLE PANE,1982,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
115815,INDIVIDUAL UNITS,"Indoor recreation room , Indoor exercise room",YES,YES,YES,NO,NO,Not Available,3,30,NA,NA,3 PIECES OF EQUIPMENT,NA,NA,NA,NA,NO,Recycling bins,YES,NO,NA,REPLACED,2010,HOT WATER,NO,NO,YES,NO,YES,9 TO 9,BASEMENT,NO,0,3,0,2,NO,NO,Surface Parking,M4L,NA,NO,NA,SOCIAL HOUSING,BACKYARD,4155755,NO,NO,NO,17  EDGEWOOD AVE ,YES,NO,2010,NA,FREE,19,SINGLE PANE,1970,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
115816,CENTRAL AIR,"Indoor recreation room , Indoor exercise room",YES,YES,YES,YES,YES,15 indoor parking spots and 7 outdoor parking spots,7,89,"MAY 24, 2018",NA,CARDIO EQUIPMENT AND WEIGHTS,NA,NA,ORIGINAL,YES,NO,Recycling bins,YES,YES,NA,ORIGINAL,2005,FORCED AIR GAS,YES,YES,YES,YES,NO,NA,NA,YES,0,1,2,NA,NO,NO,"Underground Garage , Garage accessible thru buildg",M4R,NA,YES,BENTALLGREENOAK,PRIVATE,RECYCLING ROOM - P1 LEVEL,4155758,NO,YES,NO,515  ROSEWELL AVE ,YES,YES,2005,YES,FREE,08,DOUBLE PANE,2005,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
115817,NONE,NA,NO,NO,YES,NO,YES,0 indoor parking spots and 4 outdoor parking spots,3,24,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,NO,OUTDOOR,REPLACED,2003,HOT WATER,NO,YES,NO,NO,YES,24-7,BASEMENT,YES,2,25,0,4,YES,YES,"Ground Level Garage , Surface Parking",M8V,NA,NO,NA,PRIVATE,OUTDOOR,4155763,NO,YES,NO,8  SAND BEACH RD ,NO,NA,NA,NA,UNAVAILABLE,03,DOUBLE PANE,1966,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
