entrance_accessibility,inaccessible_units,accessible_units,percent_accessible,year_built,year_of_replacement,property_type,ward
NO,12,0,0,1950,NA,PRIVATE,06
YES,44,0,0,2001,NA,PRIVATE,16
YES,64,0,0,1961,2001,PRIVATE,16
YES,62,3,4.615384615384616,1962,2010,PRIVATE,16
NO,11,0,0,1961,NA,PRIVATE,16
NO,128,0,0,1992,NA,SOCIAL HOUSING,02
NO,62,0,0,1965,2012,PRIVATE,01
NO,104,0,0,1960,2003,PRIVATE,21
YES,2,68,97.14285714285714,1953,2018,PRIVATE,20
NO,32,0,0,1955,NA,PRIVATE,15
NO,48,0,0,1968,NA,PRIVATE,11
YES,68,0,0,1957,2005,PRIVATE,11
YES,196,0,0,1965,2012,PRIVATE,11
NO,41,0,0,1941,NA,PRIVATE,15
NO,47,0,0,1955,1999,PRIVATE,12
YES,0,60,100,1957,2012,PRIVATE,12
NO,49,0,0,1959,NA,PRIVATE,12
NO,10,0,0,1992,NA,SOCIAL HOUSING,12
YES,111,2,1.7699115044247788,1993,2014,TCHC,12
YES,95,2,2.0618556701030926,1986,2013,SOCIAL HOUSING,12
NO,96,0,0,1956,2011,PRIVATE,12
YES,0,47,100,1965,2017,PRIVATE,12
NO,24,0,0,1925,NA,PRIVATE,12
NO,39,0,0,1937,2007,PRIVATE,12
NO,56,0,0,1965,2007,PRIVATE,12
YES,0,96,100,1963,NA,PRIVATE,05
NO,10,0,0,1950,NA,PRIVATE,05
NO,11,0,0,1958,NA,PRIVATE,05
NO,11,0,0,1960,NA,PRIVATE,05
YES,0,11,100,1957,NA,PRIVATE,05
NA,11,0,0,1954,NA,PRIVATE,05
NO,11,0,0,1956,NA,PRIVATE,05
YES,70,0,0,1955,2001,PRIVATE,16
NO,77,0,0,1955,2012,PRIVATE,16
YES,63,2,3.076923076923077,1955,2012,PRIVATE,16
NO,121,0,0,1968,2016,PRIVATE,02
NO,171,0,0,1964,2016,PRIVATE,02
YES,49,0,0,1960,2006,PRIVATE,02
NO,141,0,0,1970,2006,PRIVATE,02
NO,225,0,0,1975,NA,PRIVATE,13
NO,15,0,0,1940,NA,PRIVATE,20
YES,224,0,0,1966,1999,PRIVATE,17
YES,128,0,0,1963,2012,PRIVATE,13
NO,45,0,0,1927,NA,PRIVATE,13
NO,26,0,0,1955,NA,PRIVATE,08
NO,46,0,0,1929,NA,PRIVATE,08
NO,27,0,0,1940,NA,PRIVATE,08
YES,46,0,0,1953,NA,PRIVATE,19
YES,102,0,0,1965,2008,PRIVATE,13
YES,147,0,0,1981,2003,PRIVATE,11
NO,37,0,0,1927,2013,PRIVATE,13
NO,65,0,0,1920,2014,PRIVATE,13
NO,95,0,0,1967,NA,PRIVATE,13
YES,22,0,0,1993,NA,SOCIAL HOUSING,13
YES,56,0,0,1971,2007,PRIVATE,19
NO,59,0,0,1970,2014,PRIVATE,19
NO,36,0,0,1975,NA,PRIVATE,04
NO,76,0,0,1959,2013,PRIVATE,13
NO,166,0,0,1969,2014,PRIVATE,20
YES,79,0,0,1968,NA,PRIVATE,20
YES,214,0,0,1975,NA,PRIVATE,24
YES,105,7,6.25,1991,NA,SOCIAL HOUSING,24
NO,133,0,0,1964,2004,PRIVATE,24
NO,11,0,0,1955,NA,PRIVATE,06
NO,58,0,0,1961,NA,PRIVATE,16
NO,171,0,0,1960,2003,PRIVATE,12
NO,32,0,0,1943,NA,PRIVATE,12
NO,16,0,0,1930,NA,PRIVATE,12
NO,36,0,0,1926,NA,PRIVATE,12
NO,19,0,0,1960,NA,PRIVATE,01
YES,97,4,3.9603960396039604,1962,2005,PRIVATE,16
NO,14,0,0,1940,NA,PRIVATE,20
NO,277,0,0,1975,2017,PRIVATE,18
NO,23,0,0,1970,NA,PRIVATE,03
NO,19,0,0,1927,NA,PRIVATE,12
NO,22,0,0,1956,NA,PRIVATE,12
NO,36,0,0,1920,NA,PRIVATE,12
YES,13,6,31.57894736842105,1927,NA,PRIVATE,12
NO,24,0,0,1930,NA,PRIVATE,12
NO,12,0,0,1913,NA,PRIVATE,09
NO,28,0,0,1954,NA,PRIVATE,14
NO,12,0,0,1896,NA,PRIVATE,11
NA,12,0,0,1951,NA,PRIVATE,19
YES,514,0,0,1978,2009,PRIVATE,13
NO,11,0,0,1949,NA,PRIVATE,06
NA,173,0,0,1975,NA,PRIVATE,12
NO,11,0,0,1953,NA,PRIVATE,19
YES,159,0,0,1967,2002,SOCIAL HOUSING,14
YES,82,1,1.2048192771084338,1993,NA,TCHC,15
YES,12,2,14.285714285714285,1969,2015,TCHC,12
NO,67,0,0,1930,NA,PRIVATE,15
NO,16,0,0,1973,NA,TCHC,17
NO,16,0,0,1973,NA,TCHC,17
NO,14,0,0,1992,NA,SOCIAL HOUSING,25
YES,52,1,1.8867924528301887,1996,NA,SOCIAL HOUSING,18
NO,115,0,0,1965,NA,PRIVATE,21
YES,144,0,0,1950,NA,PRIVATE,21
YES,114,0,0,1958,2016,PRIVATE,21
NO,110,0,0,1964,2017,PRIVATE,21
NO,61,0,0,1970,NA,PRIVATE,06
YES,85,0,0,1960,2017,PRIVATE,06
YES,292,2,0.6802721088435374,1966,2001,TCHC,06
NO,12,0,0,1964,NA,PRIVATE,06
YES,0,240,100,1964,2010,PRIVATE,16
YES,60,0,0,1958,NA,PRIVATE,16
NO,41,0,0,1967,2001,PRIVATE,16
NO,85,0,0,1962,2017,PRIVATE,16
YES,119,0,0,1970,NA,PRIVATE,02
YES,80,0,0,1952,2008,PRIVATE,02
NO,28,0,0,1917,NA,PRIVATE,13
YES,134,1,0.7407407407407408,1980,2010,SOCIAL HOUSING,10
NO,304,0,0,1968,NA,PRIVATE,19
YES,44,0,0,2012,NA,SOCIAL HOUSING,14
NO,38,0,0,1959,2016,PRIVATE,14
YES,81,1,1.2195121951219512,1994,NA,SOCIAL HOUSING,13
YES,52,0,0,2005,NA,SOCIAL HOUSING,13
YES,42,2,4.545454545454546,1984,2015,TCHC,13
NO,48,0,0,1920,NA,PRIVATE,13
NO,19,0,0,1939,NA,PRIVATE,04
YES,118,0,0,1968,2007,PRIVATE,04
NO,15,0,0,1910,NA,PRIVATE,13
YES,0,231,100,1965,NA,PRIVATE,13
YES,198,2,1,1965,2013,PRIVATE,14
YES,17,0,0,1995,NA,SOCIAL HOUSING,14
YES,164,0,0,1967,NA,PRIVATE,24
YES,147,0,0,1967,NA,PRIVATE,24
YES,199,1,0.5,1974,2014,PRIVATE,24
YES,9,2,18.181818181818183,1952,NA,PRIVATE,06
YES,40,0,0,1958,NA,PRIVATE,06
YES,56,3,5.084745762711865,1994,NA,SOCIAL HOUSING,07
NO,12,0,0,1947,NA,PRIVATE,12
NO,33,0,0,1940,NA,PRIVATE,12
YES,49,2,3.9215686274509802,1983,2005,TCHC,12
YES,175,1,0.5681818181818182,1970,NA,PRIVATE,01
YES,295,5,1.6666666666666667,1977,2017,TCHC,03
NO,12,0,0,1951,NA,PRIVATE,03
NO,23,0,0,1950,NA,PRIVATE,03
NO,120,0,0,1961,NA,PRIVATE,19
YES,189,0,0,1970,2010,PRIVATE,22
YES,292,1,0.3412969283276451,1975,2004,TCHC,22
YES,189,1,0.5263157894736842,1972,NA,PRIVATE,22
YES,585,10,1.680672268907563,2018,NA,PRIVATE,11
YES,177,0,0,2022,2022,PRIVATE,12
NO,30,0,0,1926,NA,PRIVATE,14
NO,10,0,0,1870,NA,PRIVATE,14
NO,10,0,0,1926,NA,PRIVATE,10
NO,12,0,0,1950,NA,PRIVATE,14
NO,30,0,0,1946,NA,PRIVATE,12
NO,10,0,0,1962,NA,PRIVATE,15
NO,18,0,0,1930,NA,PRIVATE,11
NO,12,0,0,1950,NA,PRIVATE,14
NO,10,0,0,1960,NA,PRIVATE,08
NO,15,0,0,1953,NA,PRIVATE,12
NO,11,0,0,1952,NA,PRIVATE,04
YES,142,29,16.95906432748538,2023,NA,PRIVATE,10
NO,12,0,0,1950,NA,PRIVATE,20
YES,259,0,0,2022,NA,PRIVATE,02
NO,225,0,0,1974,NA,PRIVATE,02
NO,126,0,0,1972,NA,PRIVATE,02
YES,161,3,1.8292682926829267,1971,1995,TCHC,17
NO,14,0,0,1950,NA,PRIVATE,02
YES,193,0,0,1968,2014,PRIVATE,24
NO,193,0,0,1965,2016,PRIVATE,24
YES,229,0,0,1969,2016,PRIVATE,24
YES,0,188,100,1966,NA,PRIVATE,24
NO,174,0,0,1966,2009,PRIVATE,24
YES,108,7,6.086956521739131,1995,NA,SOCIAL HOUSING,24
YES,399,1,0.25,1977,2001,TCHC,24
NO,229,0,0,1970,2016,PRIVATE,06
NO,11,0,0,1955,NA,PRIVATE,06
NO,11,0,0,1965,NA,PRIVATE,06
NO,63,0,0,1959,2010,PRIVATE,16
NO,72,0,0,1977,NA,PRIVATE,04
NO,70,0,0,1965,NA,PRIVATE,04
NO,18,0,0,1910,NA,PRIVATE,04
NO,41,0,0,1900,NA,PRIVATE,04
YES,26,3,10.344827586206897,2010,NA,SOCIAL HOUSING,04
NO,77,0,0,1967,2008,PRIVATE,04
NO,73,0,0,1957,NA,PRIVATE,04
NO,23,0,0,1910,NA,SOCIAL HOUSING,04
NO,16,0,0,1890,NA,PRIVATE,04
NO,14,0,0,1989,NA,SOCIAL HOUSING,14
YES,14,1,6.666666666666667,1989,NA,TCHC,14
NO,22,0,0,1969,NA,PRIVATE,04
NO,13,0,0,1914,NA,PRIVATE,04
YES,17,1,5.555555555555555,1935,NA,PRIVATE,04
YES,107,2,1.834862385321101,1988,2010,TCHC,14
NO,24,0,0,1930,NA,PRIVATE,14
YES,35,1,2.7777777777777777,1955,NA,TCHC,19
YES,127,7,5.223880597014925,1995,NA,SOCIAL HOUSING,09
YES,175,0,0,1974,2008,PRIVATE,22
YES,52,0,0,1968,NA,PRIVATE,22
YES,196,0,0,1974,2012,PRIVATE,22
NO,44,0,0,1966,NA,PRIVATE,07
NO,177,0,0,1969,NA,PRIVATE,07
NO,20,0,0,1967,NA,PRIVATE,08
YES,256,2,0.7751937984496124,1983,2014,SOCIAL HOUSING,08
NO,24,0,0,1938,NA,PRIVATE,12
NO,32,0,0,1923,NA,PRIVATE,12
NO,26,0,0,1952,NA,PRIVATE,03
NO,26,0,0,1952,NA,PRIVATE,03
YES,15,0,0,1960,NA,PRIVATE,03
YES,16,0,0,1955,NA,PRIVATE,03
NO,27,0,0,1955,NA,PRIVATE,03
NO,95,0,0,1965,2017,PRIVATE,14
YES,148,0,0,1967,NA,PRIVATE,16
YES,199,4,1.9704433497536946,1971,1997,TCHC,22
NO,11,0,0,1953,NA,PRIVATE,05
YES,180,51,22.07792207792208,2021,NA,PRIVATE,13
YES,262,0,0,2023,2024,PRIVATE,15
NO,64,0,0,1967,NA,PRIVATE,16
NO,117,0,0,1956,NA,PRIVATE,12
NO,24,0,0,1940,NA,PRIVATE,12
NO,16,0,0,1950,NA,PRIVATE,01
YES,0,86,100,1965,NA,PRIVATE,01
YES,0,227,100,1978,2012,PRIVATE,01
NO,107,0,0,1961,2007,PRIVATE,25
NO,15,0,0,1930,NA,PRIVATE,12
YES,105,0,0,1972,NA,PRIVATE,24
YES,210,0,0,1968,2002,PRIVATE,24
NO,210,0,0,1970,2019,PRIVATE,24
YES,25,0,0,1992,NA,SOCIAL HOUSING,24
NO,158,0,0,1968,NA,PRIVATE,06
NO,12,0,0,1954,NA,PRIVATE,06
NO,39,0,0,1959,NA,PRIVATE,06
NO,32,0,0,1928,NA,PRIVATE,12
YES,24,8,25,1929,NA,PRIVATE,12
NO,16,0,0,1930,NA,PRIVATE,09
NO,30,0,0,1985,NA,PRIVATE,09
YES,182,4,2.1505376344086025,1978,NA,TCHC,09
NO,24,0,0,1930,NA,PRIVATE,09
NO,15,0,0,1920,NA,PRIVATE,19
NO,38,0,0,1958,NA,PRIVATE,19
NO,525,0,0,1970,2003,PRIVATE,10
NO,16,0,0,1930,NA,PRIVATE,10
YES,144,5,3.3557046979865772,1986,2014,SOCIAL HOUSING,09
NO,13,0,0,1930,NA,PRIVATE,09
NO,26,0,0,1928,NA,PRIVATE,09
YES,104,7,6.306306306306306,1992,2014,SOCIAL HOUSING,19
YES,24,1,4,2007,NA,SOCIAL HOUSING,19
NO,61,0,0,1950,NA,PRIVATE,11
NO,71,0,0,1954,NA,PRIVATE,12
NO,24,0,0,1919,NA,PRIVATE,11
NO,12,0,0,1975,NA,PRIVATE,25
NO,118,0,0,1971,2008,PRIVATE,07
NO,246,0,0,1974,2014,PRIVATE,23
NO,22,0,0,1938,NA,PRIVATE,04
NO,12,0,0,1920,NA,PRIVATE,04
NA,16,0,0,1960,NA,PRIVATE,04
NO,10,0,0,1956,NA,PRIVATE,08
NO,11,0,0,1975,NA,PRIVATE,08
NO,12,0,0,1960,NA,PRIVATE,08
NO,39,0,0,1949,NA,PRIVATE,12
YES,146,0,0,1980,2008,PRIVATE,12
YES,0,34,100,1955,1996,PRIVATE,12
NO,39,0,0,1971,NA,PRIVATE,12
NO,19,0,0,1954,NA,PRIVATE,12
YES,129,15,10.416666666666668,1997,NA,SOCIAL HOUSING,12
NO,41,0,0,1960,NA,PRIVATE,12
NO,18,0,0,1958,NA,PRIVATE,03
NO,19,0,0,1989,NA,SOCIAL HOUSING,14
NO,25,0,0,1990,NA,SOCIAL HOUSING,14
NO,42,0,0,1915,NA,PRIVATE,14
YES,136,3,2.158273381294964,1981,2010,TCHC,14
NO,12,0,0,1957,NA,PRIVATE,04
YES,37,1,2.631578947368421,1970,2015,PRIVATE,04
NO,39,0,0,1960,NA,PRIVATE,04
YES,91,7,7.142857142857142,1985,2009,SOCIAL HOUSING,14
NO,17,0,0,1927,NA,PRIVATE,19
NO,16,0,0,1920,NA,PRIVATE,19
NO,94,0,0,1959,NA,SOCIAL HOUSING,19
NO,12,0,0,1911,NA,PRIVATE,09
NA,35,0,0,1932,NA,PRIVATE,09
NO,19,0,0,NA,NA,PRIVATE,09
NO,23,0,0,1930,NA,PRIVATE,09
NO,15,0,0,1930,NA,PRIVATE,09
NO,115,0,0,1958,2017,PRIVATE,19
NO,11,0,0,1960,NA,PRIVATE,19
NO,15,0,0,1940,NA,PRIVATE,19
NO,24,0,0,1935,NA,PRIVATE,19
YES,0,40,100,1963,NA,PRIVATE,12
NO,23,0,0,1970,1995,PRIVATE,03
NO,86,0,0,1958,NA,PRIVATE,03
NO,162,0,0,1963,2013,PRIVATE,12
NO,16,0,0,1952,NA,PRIVATE,20
YES,208,0,0,1979,2014,PRIVATE,25
NO,154,0,0,1970,2000,PRIVATE,06
YES,221,0,0,1965,2015,PRIVATE,04
YES,0,219,100,1970,2011,PRIVATE,22
NO,188,0,0,1971,2001,PRIVATE,22
YES,153,0,0,1977,2015,PRIVATE,22
YES,330,2,0.6024096385542169,1978,2017,PRIVATE,22
YES,0,154,100,1960,2010,PRIVATE,22
YES,0,136,100,1960,2009,PRIVATE,22
YES,0,195,100,1971,2011,PRIVATE,22
YES,0,174,100,1966,NA,PRIVATE,11
YES,165,2,1.1976047904191618,1980,2014,TCHC,12
NO,109,0,0,1965,2008,PRIVATE,15
NO,202,0,0,1968,2012,PRIVATE,12
YES,154,1,0.6451612903225806,1993,NA,TCHC,12
YES,263,0,0,1966,2017,PRIVATE,12
NO,371,0,0,1970,2015,PRIVATE,12
NO,28,0,0,1956,NA,PRIVATE,15
NO,44,0,0,1955,2006,PRIVATE,11
YES,149,0,0,1968,2006,PRIVATE,11
NO,45,0,0,1970,NA,PRIVATE,12
YES,140,10,6.666666666666667,1987,NA,SOCIAL HOUSING,12
NO,16,0,0,1921,NA,PRIVATE,12
NO,24,0,0,1925,NA,PRIVATE,12
NO,55,0,0,1970,2017,PRIVATE,12
YES,52,0,0,1966,NA,PRIVATE,03
NO,12,0,0,1957,NA,PRIVATE,03
NO,118,0,0,1963,2011,PRIVATE,03
YES,35,1,2.7777777777777777,1969,NA,TCHC,20
NO,37,0,0,1960,NA,PRIVATE,21
YES,90,2,2.1739130434782608,1966,2014,TCHC,19
NO,101,0,0,1962,2019,PRIVATE,15
NO,26,0,0,1958,NA,PRIVATE,15
YES,52,0,0,1965,2017,PRIVATE,15
YES,79,2,2.4691358024691357,1989,NA,PRIVATE,12
NO,12,0,0,1957,NA,PRIVATE,08
YES,28,0,0,1950,NA,PRIVATE,08
NO,11,0,0,1960,NA,PRIVATE,08
NO,10,0,0,1950,NA,PRIVATE,08
NO,28,0,0,1960,NA,PRIVATE,08
YES,179,2,1.1049723756906076,1983,NA,TCHC,08
NO,45,0,0,1955,NA,PRIVATE,12
NO,24,0,0,1960,NA,PRIVATE,12
NO,11,0,0,1958,NA,PRIVATE,08
YES,41,1,2.380952380952381,1960,NA,TCHC,19
NO,55,0,0,1960,2010,PRIVATE,19
YES,105,1,0.9433962264150944,1988,NA,TCHC,10
NO,22,0,0,1955,NA,PRIVATE,09
YES,18,0,0,1905,NA,PRIVATE,09
YES,0,226,100,1968,1999,PRIVATE,09
YES,190,2,1.0416666666666665,1984,NA,TCHC,11
NO,39,0,0,1954,NA,PRIVATE,11
NO,34,0,0,1950,NA,PRIVATE,11
YES,245,0,0,1969,NA,PRIVATE,12
YES,60,1,1.639344262295082,1971,2011,PRIVATE,11
NO,35,0,0,1958,NA,PRIVATE,11
YES,85,0,0,1960,NA,PRIVATE,11
YES,25,0,0,1960,NA,PRIVATE,11
YES,38,0,0,1999,NA,PRIVATE,12
NO,26,0,0,1930,NA,PRIVATE,15
YES,0,117,100,1964,1999,PRIVATE,08
YES,0,25,100,1950,NA,PRIVATE,08
NO,12,0,0,1957,NA,PRIVATE,03
YES,0,47,100,1965,2014,PRIVATE,03
NO,46,0,0,1955,NA,PRIVATE,03
NO,26,0,0,1952,NA,PRIVATE,03
NO,42,0,0,1955,NA,PRIVATE,03
NO,12,0,0,1975,NA,PRIVATE,25
YES,248,0,0,1993,NA,SOCIAL HOUSING,05
NO,120,0,0,1970,NA,PRIVATE,23
YES,124,0,0,1993,NA,TCHC,25
NO,33,0,0,1958,2019,PRIVATE,04
NO,11,0,0,1965,NA,PRIVATE,08
NO,29,0,0,1952,NA,PRIVATE,09
NO,35,0,0,1971,NA,PRIVATE,12
NO,97,0,0,1957,NA,PRIVATE,12
YES,0,106,100,1966,2017,PRIVATE,12
NO,0,10,100,1960,NA,PRIVATE,03
NO,14,0,0,1950,NA,PRIVATE,03
NO,36,0,0,1957,NA,PRIVATE,12
NO,10,0,0,1923,NA,PRIVATE,12
YES,10,5,33.33333333333333,1928,NA,PRIVATE,12
NO,157,0,0,1964,NA,PRIVATE,15
YES,38,8,17.391304347826086,2017,2017,PRIVATE,04
NO,15,0,0,1953,NA,PRIVATE,19
YES,491,10,1.996007984031936,2019,NA,PRIVATE,10
NA,155,0,0,NA,NA,TCHC,13
YES,169,19,10.106382978723403,2017,NA,PRIVATE,17
YES,115,11,8.73015873015873,1976,NA,SOCIAL HOUSING,24
YES,11,0,0,1954,NA,PRIVATE,20
NA,12,0,0,1951,NA,PRIVATE,19
NO,12,0,0,1951,NA,PRIVATE,19
NA,11,0,0,1951,NA,PRIVATE,19
NO,11,0,0,1953,NA,PRIVATE,19
NO,24,0,0,1928,NA,PRIVATE,13
YES,131,8,5.755395683453238,1975,2008,PRIVATE,02
YES,114,31,21.379310344827587,2016,NA,SOCIAL HOUSING,13
NO,12,0,0,1958,NA,PRIVATE,19
NO,34,0,0,1954,NA,PRIVATE,08
NO,315,0,0,1967,2010,PRIVATE,08
NO,12,0,0,1950,NA,PRIVATE,09
NO,34,0,0,1960,NA,PRIVATE,03
YES,112,3,2.608695652173913,1962,2016,TCHC,20
YES,275,3,1.079136690647482,1971,NA,TCHC,20
YES,197,1,0.5050505050505051,1968,1999,TCHC,21
YES,179,1,0.5555555555555556,1969,1999,TCHC,24
NO,36,0,0,1960,NA,PRIVATE,06
NO,102,0,0,1970,NA,PRIVATE,24
YES,155,0,0,1968,2019,PRIVATE,17
NO,304,0,0,1968,2004,PRIVATE,18
NO,141,0,0,1968,2015,PRIVATE,02
NO,22,0,0,1960,NA,PRIVATE,15
NO,16,0,0,1970,NA,PRIVATE,19
NO,366,0,0,1968,2013,PRIVATE,12
NO,17,0,0,1907,NA,PRIVATE,11
YES,91,0,0,1955,NA,PRIVATE,11
NO,62,0,0,1960,2014,PRIVATE,11
YES,52,0,0,1956,1999,PRIVATE,11
NO,105,0,0,1967,NA,PRIVATE,11
NO,63,0,0,1958,2012,PRIVATE,11
NO,74,0,0,1971,2013,PRIVATE,11
NO,31,0,0,1970,NA,TCHC,15
NO,17,0,0,1960,NA,PRIVATE,15
NO,28,0,0,1941,NA,PRIVATE,15
NO,28,0,0,1950,NA,PRIVATE,15
YES,94,6,6,1969,NA,PRIVATE,12
NO,79,0,0,1963,2007,PRIVATE,12
NO,36,1,2.7027027027027026,1980,NA,TCHC,12
NO,15,0,0,1920,NA,PRIVATE,12
YES,214,3,1.3824884792626728,1972,1996,TCHC,20
NO,38,0,0,1966,2017,PRIVATE,06
NO,38,0,0,1964,2017,PRIVATE,06
NO,13,0,0,1935,NA,PRIVATE,04
YES,575,0,0,1966,2001,PRIVATE,12
YES,57,0,0,1963,2011,PRIVATE,15
NO,108,0,0,1965,NA,PRIVATE,15
NO,56,0,0,1928,NA,PRIVATE,12
NA,12,0,0,1956,NA,PRIVATE,08
NA,11,0,0,1956,NA,PRIVATE,08
NO,25,0,0,1955,NA,PRIVATE,08
NO,11,0,0,1950,NA,PRIVATE,08
NO,10,0,0,1950,NA,PRIVATE,08
NO,67,0,0,1959,2005,PRIVATE,08
NO,26,0,0,1965,NA,PRIVATE,08
YES,62,0,0,1960,1995,PRIVATE,08
NO,10,0,0,1960,NA,PRIVATE,08
YES,249,1,0.4,2011,NA,SOCIAL HOUSING,11
NO,18,0,0,1920,NA,PRIVATE,19
YES,56,1,1.7543859649122806,1993,NA,TCHC,15
NA,32,0,0,NA,NA,PRIVATE,14
YES,0,51,100,2018,NA,PRIVATE,12
NO,16,0,0,1973,NA,TCHC,17
NO,16,0,0,1973,NA,TCHC,17
NO,16,0,0,1973,NA,TCHC,17
NA,15,0,0,NA,NA,PRIVATE,19
YES,12,2,14.285714285714285,1920,2020,PRIVATE,11
NO,10,0,0,1951,NA,PRIVATE,15
NO,13,0,0,1922,NA,PRIVATE,14
NO,10,0,0,1910,NA,PRIVATE,13
NO,21,0,0,1930,NA,PRIVATE,19
YES,10,1,9.090909090909092,1963,NA,PRIVATE,20
NO,18,6,25,1929,NA,PRIVATE,09
YES,168,42,20,1990,2022,SOCIAL HOUSING,12
NO,13,0,0,1888,NA,PRIVATE,11
YES,186,4,2.1052631578947367,2011,NA,SOCIAL HOUSING,09
NO,34,0,0,1947,NA,PRIVATE,15
YES,40,0,0,1950,2011,PRIVATE,15
NO,47,0,0,1960,2015,PRIVATE,15
NO,32,0,0,1950,NA,PRIVATE,06
NO,11,0,0,1956,NA,PRIVATE,06
NO,25,0,0,1975,NA,PRIVATE,05
NO,23,0,0,1965,NA,PRIVATE,05
NO,43,0,0,1955,NA,PRIVATE,05
YES,52,2,3.7037037037037033,1964,NA,TCHC,11
YES,468,1,0.21321961620469082,1972,2016,TCHC,13
NO,34,0,0,1970,NA,TCHC,14
NO,11,0,0,1965,NA,PRIVATE,16
NO,11,0,0,1965,NA,PRIVATE,16
NO,39,0,0,1970,2009,PRIVATE,15
NO,52,0,0,1958,NA,PRIVATE,15
NO,50,0,0,1927,NA,PRIVATE,14
NO,28,0,0,1960,NA,PRIVATE,06
NO,10,0,0,1920,NA,PRIVATE,12
NO,14,0,0,1989,NA,PRIVATE,12
NO,16,0,0,1920,NA,PRIVATE,12
NO,29,0,0,1956,NA,PRIVATE,12
NO,15,0,0,1927,NA,PRIVATE,12
NO,16,0,0,1923,NA,PRIVATE,09
NO,29,0,0,1952,2005,PRIVATE,03
YES,0,301,100,2019,NA,PRIVATE,17
NO,18,0,0,1960,NA,PRIVATE,09
NO,11,0,0,1949,NA,PRIVATE,06
NO,13,0,0,1951,NA,PRIVATE,19
NO,112,0,0,1968,NA,PRIVATE,02
NO,12,0,0,1951,NA,PRIVATE,19
NO,15,0,0,1954,NA,PRIVATE,20
YES,300,69,18.69918699186992,2018,NA,PRIVATE,05
NO,11,0,0,1955,NA,PRIVATE,06
YES,162,24,12.903225806451612,2016,NA,PRIVATE,07
NO,18,0,0,1920,NA,PRIVATE,19
YES,214,0,0,1965,2007,PRIVATE,08
NO,78,0,0,1959,2012,PRIVATE,09
NO,14,0,0,1950,NA,PRIVATE,03
YES,32,1,3.0303030303030303,1970,NA,TCHC,24
YES,185,0,0,1964,2002,PRIVATE,12
NO,16,0,0,1970,NA,PRIVATE,19
NO,211,0,0,1961,2002,PRIVATE,12
NO,109,0,0,1964,NA,PRIVATE,15
NO,11,0,0,1960,NA,PRIVATE,08
NO,10,0,0,1960,NA,PRIVATE,06
NO,33,0,0,1960,NA,PRIVATE,06
NO,33,0,0,1960,NA,PRIVATE,06
NO,11,0,0,1954,NA,PRIVATE,06
YES,90,0,0,1967,2017,PRIVATE,09
NO,23,0,0,1960,NA,PRIVATE,09
NO,29,0,0,1960,NA,PRIVATE,09
NO,37,0,0,1950,NA,PRIVATE,08
NO,12,0,0,1960,NA,PRIVATE,19
NO,12,0,0,1940,NA,PRIVATE,19
NO,10,0,0,1930,NA,PRIVATE,19
NO,11,0,0,1970,NA,PRIVATE,03
NO,11,0,0,1950,NA,PRIVATE,20
NO,12,0,0,2023,NA,PRIVATE,20
YES,225,5,2.1739130434782608,2022,NA,PRIVATE,10
YES,230,2,0.8620689655172413,2022,NA,PRIVATE,10
YES,174,12,6.451612903225806,2021,NA,SOCIAL HOUSING,23
NO,11,0,0,1950,NA,PRIVATE,16
YES,184,1,0.5405405405405406,1972,2016,TCHC,24
NO,40,0,0,1960,NA,PRIVATE,06
NO,40,0,0,1960,NA,PRIVATE,06
NO,371,0,0,1965,NA,PRIVATE,04
NO,10,0,0,1957,NA,PRIVATE,03
NO,24,0,0,1959,NA,PRIVATE,20
NO,11,0,0,1957,NA,PRIVATE,06
NO,29,0,0,1960,NA,PRIVATE,06
YES,0,80,100,1966,NA,PRIVATE,06
NO,39,0,0,1960,NA,PRIVATE,06
NO,17,0,0,1970,NA,PRIVATE,05
NO,22,0,0,1954,NA,PRIVATE,05
YES,24,0,0,1995,NA,SOCIAL HOUSING,05
NO,11,0,0,1957,NA,PRIVATE,05
YES,105,20,16,1992,NA,SOCIAL HOUSING,05
YES,30,1,3.225806451612903,1957,NA,TCHC,08
YES,29,1,3.3333333333333335,1957,NA,TCHC,08
YES,29,1,3.3333333333333335,1957,NA,TCHC,08
YES,29,1,3.3333333333333335,1957,NA,TCHC,08
YES,182,2,1.0869565217391304,2008,NA,PRIVATE,05
YES,216,0,0,1967,2016,PRIVATE,17
YES,47,1,2.083333333333333,1974,NA,TCHC,08
NO,75,0,0,1960,NA,PRIVATE,14
NO,28,0,0,1970,NA,PRIVATE,14
YES,21,1,4.545454545454546,1980,1995,TCHC,21
NO,11,0,0,1960,NA,PRIVATE,06
YES,11,0,0,1950,NA,PRIVATE,16
NO,25,0,0,1958,NA,PRIVATE,12
NA,120,0,0,NA,NA,TCHC,13
YES,285,61,17.63005780346821,2021,NA,PRIVATE,13
YES,123,23,15.753424657534246,2022,NA,PRIVATE,15
YES,220,66,23.076923076923077,2022,NA,PRIVATE,10
NO,12,0,0,1950,NA,PRIVATE,08
NO,12,0,0,1952,NA,PRIVATE,14
YES,11,0,0,1920,NA,PRIVATE,14
NO,10,0,0,1965,NA,PRIVATE,03
NO,0,10,100,1937,NA,PRIVATE,12
NO,10,0,0,1952,NA,PRIVATE,08
NO,17,0,0,1960,NA,PRIVATE,14
YES,11,1,8.333333333333332,1970,NA,PRIVATE,20
